puzzle_id,n,t,d,markov_entropy,pattern_score
313,5,7,20,1.0,0.36907024642854247
314,5,7,21,2.584962500721156,0.07921777883839831
315,6,1,1,0.0,1.0
316,6,1,2,0.0,1.0
317,6,1,3,0.0,1.0
318,6,2,2,1.0,0.36907024642854247
319,6,2,3,1.0,0.36907024642854247
320,6,2,4,0.9182958340544896,0.5408520829727552
321,6,2,5,0.9182958340544896,0.5408520829727552
322,6,2,6,0.7219280948873623,0.7207200898713393
323,6,3,3,0.0,1.0
324,6,3,4,1.0,0.36907024642854247
325,6,3,5,0.0,1.0
326,6,3,6,0.0,1.0
327,6,3,7,1.0,0.36907024642854247
328,6,3,8,0.0,1.0
329,6,3,9,0.8112781244591328,0.6506015297177028
330,6,4,4,0.0,1.0
331,6,4,5,2.0,0.1386468838532139
332,6,4,6,0.0,1.0
333,6,4,7,1.0,0.36907024642854247
334,6,4,8,1.0,0.36907024642854247
335,6,4,9,2.5216406363433186,0.15945312121889377
336,6,4,10,0.0,1.0
337,6,4,11,0.0,1.0
338,6,4,12,0.0,1.0
339,6,5,5,0.0,1.0
340,6,5,6,0.0,1.0
341,6,5,7,2.0,0.1386468838532139
342,6,5,8,0.0,1.0
343,6,5,9,2.321928094887362,0.10175559829607284
344,6,5,10,0.0,1.0
345,6,5,11,1.5,0.35398516288991033
346,6,5,12,0.0,1.0
347,6,5,13,0.0,1.0
348,6,5,14,0.0,1.0
349,6,5,15,1.584962500721156,0.20751874963942196
350,6,6,6,0.0,1.0
351,6,6,7,0.0,1.0
352,6,6,8,1.584962500721156,0.20751874963942196
353,6,6,9,1.0,0.36907024642854247
354,6,6,10,0.0,1.0
355,6,6,11,1.0,0.36907024642854247
356,6,6,12,1.0,0.36907024642854247
357,6,6,13,0.9182958340544896,0.5408520829727552
358,6,6,14,1.7924812503605778,0.3615052958651881
359,6,6,15,0.0,1.0
360,6,6,16,1.3709505944546687,0.46964391395534777
361,6,6,17,0.0,1.0
362,6,6,18,3.2516291673878226,0.12128573492307249
363,6,7,7,1.584962500721156,0.20751874963942196
364,6,7,8,0.0,1.0
365,6,7,9,2.5,0.21133780803567814
366,6,7,10,1.0,0.36907024642854247
367,6,7,11,0.0,1.0
368,6,7,12,2.2516291673878226,0.1979535078744057
369,6,7,13,0.0,1.0
370,6,7,14,3.277613436819116,0.08573285322795232
371,6,7,15,2.321928094887362,0.10175559829607284
372,6,7,16,2.0,0.1386468838532139
373,6,7,17,0.0,1.0
374,6,7,18,0.0,1.0
375,6,7,19,2.0,0.1386468838532139
376,6,7,20,1.0,0.36907024642854247
377,6,7,21,2.9219280948873623,0.1553733627380277
378,7,1,1,0.0,1.0
379,7,1,2,1.0,0.36907024642854247
380,7,1,3,0.0,1.0
381,7,2,2,0.0,1.0
382,7,2,3,0.0,1.0
383,7,2,4,0.0,1.0
384,7,2,5,0.0,1.0
385,7,2,6,0.8112781244591328,0.6506015297177028
386,7,3,3,0.0,1.0
387,7,3,4,0.0,1.0
388,7,3,5,0.0,1.0
389,7,3,6,0.9182958340544896,0.5408520829727552
390,7,3,7,0.0,1.0
391,7,3,8,1.0,0.36907024642854247
392,7,3,9,1.584962500721156,0.20751874963942196
393,7,4,4,0.0,1.0
394,7,4,5,1.0,0.36907024642854247
395,7,4,6,0.0,1.0
396,7,4,7,0.9182958340544896,0.5408520829727552
397,7,4,8,1.6644977792004614,0.4451674069331796
398,7,4,9,1.0,0.36907024642854247
399,7,4,10,0.0,1.0
400,7,4,11,0.0,1.0
401,7,4,12,0.0,1.0
402,7,5,5,0.0,1.0
