puzzle_id,n,t,d,markov_entropy,pattern_score
506,2,6,15,0.0,1.0
507,4,7,16,0.0,1.0
508,7,7,19,0.0,1.0
509,6,5,13,0.0,1.0
510,5,1,2,0.0,1.0
511,5,3,8,0.0,1.0
512,7,5,16,0.0,1.0
513,4,6,17,0.0,1.0
514,1,2,2,0.0,1.0
515,5,6,12,0.0,1.0
516,6,4,14,0.0,1.0
517,3,2,5,0.0,1.0
518,6,2,3,0.0,1.0
519,8,7,16,0.0,1.0
520,4,1,4,0.0,1.0
521,6,3,10,0.0,1.0
522,8,6,15,0.0,1.0
523,6,7,16,0.0,1.0
524,8,5,13,0.0,1.0
525,5,3,5,1.0,0.36907024642854247
526,1,1,4,0.0,1.0
527,7,6,17,0.0,1.0
528,6,6,15,0.0,1.0
529,7,4,11,0.0,1.0
530,7,3,6,0.0,1.0
531,5,5,9,1.0,0.36907024642854247
532,7,6,15,0.0,1.0
533,10,3,6,0.0,1.0
534,6,3,6,0.0,1.0
535,7,7,18,2.0,0.1386468838532139
536,5,5,11,0.0,1.0
537,6,1,3,0.0,1.0
538,7,4,14,0.0,1.0
539,2,4,11,0.0,1.0
540,2,5,12,0.0,1.0
541,7,2,6,0.0,1.0
542,4,4,10,1.0,0.36907024642854247
543,7,7,19,0.0,1.0
544,6,7,18,1.0,0.36907024642854247
545,2,7,19,0.0,1.0
546,6,4,8,0.0,1.0
547,5,4,8,0.0,1.0
548,7,4,9,0.0,1.0
549,6,4,8,0.0,1.0
550,4,6,17,0.0,1.0
551,4,2,8,0.0,1.0
552,4,6,15,0.0,1.0
553,6,7,15,0.0,1.0
554,6,2,4,0.0,1.0
555,9,7,18,0.0,1.0
556,7,2,5,0.0,1.0
557,2,4,10,0.0,1.0
558,3,6,16,0.0,1.0
559,7,4,10,0.0,1.0
560,4,5,13,0.0,1.0
561,4,1,4,0.0,1.0
562,4,6,14,0.0,1.0
563,7,4,12,0.0,1.0
564,6,6,14,0.0,1.0
565,7,2,5,0.0,1.0
566,1,3,6,0.0,1.0
567,5,6,17,0.0,1.0
568,7,6,14,0.0,1.0
569,4,1,2,0.0,1.0
570,9,2,5,0.0,1.0
571,6,4,11,0.0,1.0
572,4,5,12,0.0,1.0
573,5,6,15,0.0,1.0
574,2,7,19,0.0,1.0
575,3,7,21,0.0,1.0
576,4,5,12,0.0,1.0
577,8,4,10,0.0,1.0
578,8,5,10,0.9182958340544896,0.5408520829727552
579,8,5,11,0.0,1.0
580,4,4,7,0.0,1.0
581,8,3,7,0.0,1.0
582,6,5,14,0.0,1.0
583,6,1,2,0.0,1.0
584,6,3,5,0.0,1.0
585,9,4,11,0.0,1.0
586,2,2,2,0.0,1.0
587,7,3,4,0.0,1.0
588,5,5,13,0.8112781244591328,0.6506015297177028
589,7,1,1,0.0,1.0
590,4,6,15,0.0,1.0
591,6,6,15,0.0,1.0
592,5,6,14,0.0,1.0
593,4,7,16,0.0,1.0
594,6,5,15,0.9182958340544896,0.5408520829727552
595,3,5,12,0.0,1.0
596,5,6,15,1.0,0.36907024642854247
597,7,5,13,0.0,1.0
598,6,1,2,0.0,1.0
599,6,3,8,0.0,1.0
600,2,2,5,0.0,1.0
601,5,6,14,0.0,1.0
602,7,4,10,0.0,1.0
603,6,3,8,0.0,1.0
604,7,1,3,0.0,1.0
605,4,7,18,0.0,1.0
606,5,6,15,0.0,1.0
607,8,1,4,0.0,1.0
608,6,3,10,0.0,1.0
609,7,1,2,0.0,1.0
610,4,5,12,0.0,1.0
611,10,4,12,0.0,1.0
612,4,3,12,0.0,1.0
613,8,2,6,0.0,1.0
614,6,4,11,0.0,1.0
615,4,1,1,0.0,1.0
616,8,3,8,0.0,1.0
617,6,5,16,0.0,1.0
618,10,5,12,0.0,1.0
619,6,7,18,0.0,1.0
620,3,1,1,0.0,1.0
621,8,3,9,0.0,1.0
622,5,5,19,0.0,1.0
623,5,5,10,0.0,1.0
624,4,2,4,0.0,1.0
625,5,5,15,0.8112781244591328,0.6506015297177028
626,9,3,8,0.0,1.0
627,6,3,10,1.0,0.36907024642854247
628,6,3,7,0.0,1.0
629,7,4,9,0.0,1.0
630,8,1,4,0.0,1.0
631,1,4,10,0.0,1.0
632,6,4,10,1.0,0.36907024642854247
633,5,4,13,0.0,1.0
634,3,5,9,0.0,1.0
635,5,3,4,0.0,1.0
636,4,4,10,0.0,1.0
637,5,3,11,1.0,0.36907024642854247
638,9,5,13,0.0,1.0
